properties.ObjectId,properties.StopID,properties.PID,properties.resultOfStop,properties.resultOfStopcode,properties.resultOfStopcodeText
31498,37516,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31499,37354,1,Warning (verbal or written),23008,484 PC - THEFT (M) 23008
31500,37558,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
31501,37425,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31502,37599,1,No Action,NULL,NULL
31503,37469,1,Psychiatric hold,NULL,NULL
31504,37517,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31505,37355,1,Citation for infraction,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
31506,37558,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31507,37426,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
31508,37600,1,Warning (verbal or written),54164,27007 VC - LOUD OUTSIDE VEH AMP SYS (I) 54164
31509,37470,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
31510,37518,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31511,37357,1,Citation for infraction,54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
31512,37558,1,In-field cite and release,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
31513,37427,1,Field interview card completed,NULL,NULL
31514,37601,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
31515,37471,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
31516,37519,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31517,37358,1,Warning (verbal or written),54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
31518,37428,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
31519,37559,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31520,37429,1,Citation for infraction,54145,21955 VC - JAYWALKING (I) 54145
31521,37359,1,In-field cite and release,54218,23109(C) VC - AIDE/ABET SPEED EXHIBITN (M) 54218
31522,37602,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31523,37472,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
31524,37520,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31525,37559,1,Citation for infraction,54114,21801(A) VC - FT/YIELD BE4 LEFT/U-TURN (I) 54114
31526,37473,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31527,37430,1,Citation for infraction,66207,640(B)(5) PC - SKATEBOARD:PRKG STRUCTURE (I) 66207
31528,37603,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31529,37521,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31530,37559,1,In-field cite and release,54114,21801(A) VC - FT/YIELD BE4 LEFT/U-TURN (I) 54114
31531,37474,1,Citation for infraction,54114,21801(A) VC - FT/YIELD BE4 LEFT/U-TURN (I) 54114
31532,37431,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31533,37604,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31534,37522,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31535,37560,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31536,37474,1,In-field cite and release,54114,21801(A) VC - FT/YIELD BE4 LEFT/U-TURN (I) 54114
31537,37432,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31538,37605,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31539,37523,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31540,37560,1,In-field cite and release,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31541,37432,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
31542,37606,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31543,37524,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
31544,37561,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31545,37432,2,No Action,NULL,NULL
31546,37607,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31547,37524,2,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
31548,37562,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31549,37432,3,No Action,NULL,NULL
31550,37525,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31551,37563,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31552,37433,1,No Action,NULL,NULL
31553,37563,2,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31554,37433,2,No Action,NULL,NULL
31555,37434,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
31556,37435,1,Citation for infraction,54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
31557,37360,1,No Action,NULL,NULL
31558,37361,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
31559,37362,1,Citation for infraction,54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
31560,37363,1,In-field cite and release,54145,21955 VC - JAYWALKING (I) 54145
31561,37363,1,Citation for infraction,54145,21955 VC - JAYWALKING (I) 54145
31562,37364,1,Warning (verbal or written),54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
31563,37365,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31564,37366,1,Warning (verbal or written),54306,22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306
31565,37367,1,No Action,NULL,NULL
31566,37368,1,No Action,NULL,NULL
31567,37369,1,Warning (verbal or written),54194,24603 VC - STOPLAMP VIOLATIONS (I) 54194
31568,37370,1,Citation for infraction,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
31569,37371,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
31570,37371,1,Custodial Arrest without warrant,38080,273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080
31571,37372,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31572,37373,1,Contacted parent/legal guardian or other person responsible for the minor,NULL,NULL
31573,37374,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31574,37375,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31575,37376,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31576,37377,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31577,37378,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31578,37379,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31579,37380,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31580,37381,1,No Action,NULL,NULL
31581,37381,2,No Action,NULL,NULL
31582,37382,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31583,37383,1,No Action,NULL,NULL
31584,37384,1,Citation for infraction,54445,21651(A) VC - DIV HWY:CROSS/U TURN VIOL (I) 54445
31585,37385,1,No Action,NULL,NULL
31586,37386,1,No Action,NULL,NULL
31587,37387,1,Field interview card completed,NULL,NULL
31588,37388,1,Custodial Arrest without warrant,22004,459 PC - BURGLARY (F) 22004
31589,37389,1,Psychiatric hold,NULL,NULL
31590,37390,1,No Action,NULL,NULL
31591,37391,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31592,37392,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
31593,37393,1,Citation for infraction,54306,22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306
31594,37393,1,In-field cite and release,54306,22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306
31595,37394,1,Warning (verbal or written),32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
31596,37395,1,Field interview card completed,NULL,NULL
31597,37396,1,Warning (verbal or written),54178,21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178
31598,37397,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31599,37398,1,Citation for infraction,54018,16020(A) VC - NO PROOF:FINANCE RESP:VEH (I) 54018
31600,37398,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31601,37684,1,In-field cite and release,54178,21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178
31602,37859,1,Field interview card completed,NULL,NULL
31603,37860,1,No Action,NULL,NULL
31604,37684,1,Citation for infraction,54178,21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178
31605,37861,1,No Action,NULL,NULL
31606,37685,1,No Action,NULL,NULL
31607,37862,1,Citation for infraction,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
31608,37686,1,No Action,NULL,NULL
31609,37863,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31610,37863,2,In-field cite and release,35172,11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172
31611,37687,1,In-field cite and release,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
31612,37864,1,No Action,NULL,NULL
31613,37650,1,Citation for infraction,99999,NA - XX ZZ - CODE NOT FOUND IN TABLE (X) 99999
31614,37687,1,In-field cite and release,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31615,37865,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31616,37814,1,Citation for infraction,54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
31617,37866,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31618,37687,1,In-field cite and release,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31619,37724,1,Citation for infraction,32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
31620,37770,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31621,37651,1,No Action,NULL,NULL
31622,37815,1,Warning (verbal or written),54109,24252(A) VC - FAIL MAINT VEH LITE EQUIP (I) 54109
31623,37866,2,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31624,37688,1,Warning (verbal or written),54074,20002(A)(1) VC - HIT&RUN PROP DAMAG:LOCATE (M) 54074
31625,37725,1,In-field cite and release,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
31626,37652,1,Warning (verbal or written),54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
31627,37771,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31628,37816,1,Citation for infraction,54445,21651(A) VC - DIV HWY:CROSS/U TURN VIOL (I) 54445
31629,37867,1,No Action,NULL,NULL
31630,37689,1,Field interview card completed,NULL,NULL
31631,37725,1,In-field cite and release,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
31632,37653,1,Warning (verbal or written),54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
31633,37772,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31634,37817,1,Custodial Arrest without warrant,13048,242 PC - BATTERY ON PERSON (M) 13048
31635,37868,1,Warning (verbal or written),32096,602(L)(1) PC - TRSPSS:PSTD LND:RFS TO LV (M) 32096
31636,37690,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31637,37691,1,No Action,NULL,NULL
31638,37692,1,Citation for infraction,54498,23115(A) VC - FAIL COVER RUBBISH VEH LD (I) 54498
31639,37693,1,Citation for infraction,54498,23115(A) VC - FAIL COVER RUBBISH VEH LD (I) 54498
31640,37694,1,Citation for infraction,54498,23115(A) VC - FAIL COVER RUBBISH VEH LD (I) 54498
31641,37695,1,Warning (verbal or written),66174,5 100013(K) CA - CA REG:URINAT/DEF UNV PRP (M) 66174
31642,37696,1,Warning (verbal or written),23008,484 PC - THEFT (M) 23008
31643,37697,1,Warning (verbal or written),32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
31644,37698,1,Citation for infraction,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
31645,37699,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
31646,37700,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
31647,37701,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
31648,37702,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
31649,37703,1,Field interview card completed,NULL,NULL
31650,37704,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31651,37705,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31652,37706,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31653,37707,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
31654,37708,1,No Action,NULL,NULL
31655,37709,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
31656,37710,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
31657,37711,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31658,37712,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31659,37713,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31660,37713,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31661,37714,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31662,37714,2,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31663,37715,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31664,37715,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31665,37716,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
31666,37717,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31667,37717,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31668,37717,2,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31669,37717,2,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31670,37718,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31671,37718,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
31672,37719,1,In-field cite and release,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
31673,37720,1,In-field cite and release,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
31674,37721,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31675,37722,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31676,37723,1,No Action,NULL,NULL
31677,37902,1,Psychiatric hold,NULL,NULL
31678,37726,1,In-field cite and release,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
31679,37654,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31680,37818,1,No Action,NULL,NULL
31681,37903,1,Warning (verbal or written),54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31682,37773,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31683,37903,2,No Action,NULL,NULL
31684,37869,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
31685,37727,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31686,37819,1,No Action,NULL,NULL
31687,37654,2,Warning (verbal or written),54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31688,37774,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31689,37728,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31690,37870,1,In-field cite and release,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31691,37904,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31692,37820,1,No Action,NULL,NULL
31693,37775,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
31694,37655,1,In-field cite and release,32071,602.1(A) PC - TRESPASS PUBLIC BUSINESS (M) 32071
31695,37729,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
31696,37870,2,No Action,NULL,NULL
31697,37905,1,Custodial Arrest without warrant,52504,30305(A)(1) PC - PROHIB OWN/ETC AMMO/ETC (F) 52504
31698,37821,1,No Action,NULL,NULL
31699,37776,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
31700,37655,1,In-field cite and release,35172,11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172
31701,37871,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31702,37730,1,Warning (verbal or written),32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
31703,37905,2,Field interview card completed,NULL,NULL
31704,37822,1,Custodial Arrest without warrant,12018,211 PC - ROBBERY:SECOND DEGREE (F) 12018
31705,37777,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31706,37656,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31707,37872,1,Citation for infraction,54320,22104 VC - TURN BY FIRE STATION VIOL (I) 54320
31708,37731,1,Citation for infraction,54203,22451(A) VC - FAIL STOP/ETC:RR XING/ETC (I) 54203
31709,37732,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
31710,37733,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31711,37734,1,Citation for infraction,54378,22526 VC - INTERSECT/ETC:NO CLEARNCE (I) 54378
31712,37735,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
31713,37736,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
31714,37737,1,Citation for infraction,54203,22451(A) VC - FAIL STOP/ETC:RR XING/ETC (I) 54203
31715,37738,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
31716,37739,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
31717,37740,1,In-field cite and release,54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
31718,37740,1,Citation for infraction,54203,22451(A) VC - FAIL STOP/ETC:RR XING/ETC (I) 54203
31719,37741,1,Citation for infraction,54378,22526 VC - INTERSECT/ETC:NO CLEARNCE (I) 54378
31720,37742,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
31721,37743,1,Citation for infraction,54203,22451(A) VC - FAIL STOP/ETC:RR XING/ETC (I) 54203
31722,37744,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
31723,37745,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
31724,37746,1,Citation for infraction,54203,22451(A) VC - FAIL STOP/ETC:RR XING/ETC (I) 54203
31725,37747,1,Custodial Arrest without warrant,32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
31726,37748,1,In-field cite and release,32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
31727,37749,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31728,37750,1,Citation for infraction,54378,22526 VC - INTERSECT/ETC:NO CLEARNCE (I) 54378
31729,37751,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
31730,37752,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31731,37752,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31732,37753,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31733,37753,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31734,37754,1,Citation for infraction,54168,5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168
31735,37755,1,No Action,NULL,NULL
31736,37756,1,Citation for infraction,54168,5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168
31737,37757,1,Citation for infraction,54168,5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168
31738,37758,1,Citation for infraction,54168,5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168
31739,37759,1,No Action,NULL,NULL
31740,37760,1,Citation for infraction,54211,5202 VC - LICENSE PLATE DISPLAY VIO (I) 54211
31741,37761,1,Citation for infraction,54603,21951 VC - OVRTAKE VEH STOPPED XWALK (I) 54603
31742,37762,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31743,37763,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31744,37764,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31745,37765,1,No Action,NULL,NULL
31746,37766,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31747,37767,1,Citation for infraction,54168,5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168
31748,37768,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31749,37769,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31750,37905,3,Field interview card completed,NULL,NULL
31751,37657,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31752,37823,1,No Action,NULL,NULL
31753,37778,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
31754,37658,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31755,37905,4,Field interview card completed,NULL,NULL
31756,37873,1,Citation for infraction,54013,24002 VC - UNLAWFUL OPERATION OF VEH (I) 54013
31757,37824,1,Warning (verbal or written),54109,24252(A) VC - FAIL MAINT VEH LITE EQUIP (I) 54109
31758,37874,1,In-field cite and release,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
31759,37779,1,No Action,NULL,NULL
31760,37659,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31761,37906,1,Citation for infraction,54165,27151 VC - ILL MOD EXHAUST SYS:NOISE (I) 54165
31762,37780,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
31763,37825,1,Citation for infraction,54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
31764,37660,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31765,37907,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
31766,37874,2,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31767,37781,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31768,37826,1,Warning (verbal or written),54357,26101 VC - EQUIP MODIFY DEVICE VIOL (I) 54357
31769,37661,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31770,37908,1,Warning (verbal or written),66208,640(C)(1) PC - FAIL PAY:PUB TRANSIT SYS (I) 66208
31771,37875,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
31772,37782,1,No Action,NULL,NULL
31773,37827,1,No Action,NULL,NULL
31774,37662,1,In-field cite and release,32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
31775,37909,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
31776,37876,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31777,37783,1,Citation for infraction,54011,27315 VC - SEATBELT VIOLATION (I) 54011
31778,37828,1,Warning (verbal or written),35301,36 2.35(C) US - FR:UI ALC/CNTL SUB:PARK (M) 35301
31779,37663,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31780,37910,1,In-field cite and release,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31781,37910,1,In-field cite and release,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
31782,37911,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
31783,37911,1,Citation for infraction,54109,24252(A) VC - FAIL MAINT VEH LITE EQUIP (I) 54109
31784,37911,2,Citation for infraction,54191,24250 VC - DRIVE WITHOUT LIGHTS:DARK (I) 54191
31785,37912,1,No Action,NULL,NULL
31786,37913,1,In-field cite and release,66210,640(D)(3) PC - URINATE/ETC:PUB TRANSIT (M) 66210
31787,37914,1,Custodial Arrest without warrant,38025,273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025
31788,37915,1,No Action,NULL,NULL
31789,37915,2,Custodial Arrest without warrant,13219,245(A)(1) PC - ADW NOT FIREARM (F) 13219
31790,37916,1,Warning (verbal or written),54193,24600 VC - TAILLAMP VIOLATIONS (I) 54193
31791,37917,1,Warning (verbal or written),54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
31792,37918,1,Warning (verbal or written),54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
31793,37919,1,Warning (verbal or written),54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
31794,37920,1,No Action,NULL,NULL
31795,37921,1,Citation for infraction,54018,16020(A) VC - NO PROOF:FINANCE RESP:VEH (I) 54018
31796,37922,1,No Action,NULL,NULL
31797,37923,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
31798,37924,1,Citation for infraction,54186,22102 VC - ILEGAL UTURN:BUS DIST/ETC (I) 54186
31799,37925,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
31800,37926,1,No Action,NULL,NULL
